antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'BAW56,215', 'BAS316,115'})","frozenset({'BAV99,215'})",0.0031910650179497405,0.015955325089748704,0.002991623454327882,0.9375,58.7578125,0.002940708974583969,15.74471479856402,0.9861277844471121
"frozenset({'BAW56,215', 'BAV99,215'})","frozenset({'BAS316,115'})",0.003789389708815317,0.009373753490227364,0.002991623454327882,0.7894736842105263,84.22172452407614,0.0029561026493190425,4.70547467092142,0.9918852185518853
"frozenset({'PDZ12B,115'})","frozenset({'BAS316,115'})",0.003523467623986172,0.009373753490227364,0.0029251429331205955,0.830188679245283,88.56523484544358,0.002892114816182552,5.833687896113103,0.9922048896463467
"frozenset({'PBSS4240T,215'})","frozenset({'PBSS5240T,215'})",0.0033240260603643133,0.0043877143996808934,0.0030581039755351682,0.92,209.67636363636365,0.0030435190985251934,12.445153570003995,0.998549951278363
"frozenset({'BAV70,215', 'BAS316,115'})","frozenset({'BAV99,215'})",0.0035899481451934583,0.015955325089748704,0.0031910650179497405,0.8888888888888888,55.71111111111111,0.0031337862282378387,8.856402074192257,0.9855884707766214
"frozenset({'PDZ15B,115'})","frozenset({'BAS316,115'})",0.003789389708815317,0.009373753490227364,0.0030581039755351682,0.8070175438596492,86.09331840238895,0.003022583170526329,5.133245095550642,0.9921443182312747
"frozenset({'PDZ15B,115'})","frozenset({'BAV99,215'})",0.003789389708815317,0.015955325089748704,0.002991623454327882,0.7894736842105263,49.48026315789473,0.0029311625096319852,4.674212205823694,0.983516850183517
frozenset({'SC6531DA'}),frozenset({'HS8292U'}),0.003789389708815317,0.004321233878473607,0.003789389708815317,1.0,231.41538461538462,0.003773014869626845,inf,0.9994661327994662
frozenset({'HS8292U'}),frozenset({'SC6531DA'}),0.004321233878473607,0.003789389708815317,0.003789389708815317,0.8769230769230769,231.41538461538462,0.003773014869626845,8.094211208615874,1.0
frozenset({'WD5000LPLX'}),frozenset({'WD30EZRZ'}),0.0038558702300226034,0.0045871559633027525,0.002792181890706023,0.7241379310344828,157.86206896551724,0.0027744944125866534,3.6083715596330275,0.9975116314545039
