antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'BAW56,215', 'BAS316,115'})","frozenset({'BAV99,215'})",0.0031910650179497405,0.015955325089748704,0.002991623454327882,0.9375,58.7578125,0.002940708974583969,15.74471479856402,0.9861277844471121
"frozenset({'BAW56,215', 'BAV99,215'})","frozenset({'BAS316,115'})",0.003789389708815317,0.009373753490227364,0.002991623454327882,0.7894736842105263,84.22172452407614,0.0029561026493190425,4.70547467092142,0.9918852185518853
"frozenset({'BAW56,215', 'BAV70,215'})","frozenset({'BAV99,215'})",0.0025927403270841645,0.015955325089748704,0.0023932987634623054,0.9230769230769229,57.85384615384614,0.002351930748670376,12.792580773833238,0.9852696127441178
"frozenset({'BAW56,215', 'BAT54S,215'})","frozenset({'BAV99,215'})",0.002260337721047733,0.015955325089748704,0.0021273766786331604,0.9411764705882352,58.988235294117636,0.0020913122554812222,16.728759473474238,0.9852745202558636
"frozenset({'BAS316,115', '2N7002BK,215'})","frozenset({'BAV99,215'})",0.002792181890706023,0.015955325089748704,0.002526259805876878,0.9047619047619048,56.705952380952375,0.0024817096361009544,10.332469086557639,0.9851157894736843
"frozenset({'BAV99,215', '2N7002BK,215'})","frozenset({'BAS316,115'})",0.002991623454327882,0.009373753490227364,0.002526259805876878,0.8444444444444444,90.08605200945625,0.002498217065080426,6.368311584705681,0.9918667944115138
"frozenset({'BAS316,115', 'PBSS5240T,215'})","frozenset({'BAV99,215'})",0.002792181890706023,0.015955325089748704,0.0023932987634623054,0.8571428571428571,53.72142857142857,0.0023487485936863816,6.888312724371756,0.9841333333333334
"frozenset({'BAV99,215', 'PBSS5240T,215'})","frozenset({'BAS316,115'})",0.002991623454327882,0.009373753490227364,0.0023932987634623054,0.7999999999999999,85.34468085106381,0.002365256022665853,4.953131232548861,0.9912482496499299
"frozenset({'PDZ15B,115', 'BAS316,115', 'PDZ12B,115'})","frozenset({'BAV99,215'})",0.0023932987634623054,0.015955325089748704,0.0021273766786331604,0.8888888888888888,55.71111111111111,0.002089190818825226,8.856402074192257,0.984406237504998
"frozenset({'PDZ15B,115', 'PDZ12B,115', 'BAV99,215'})","frozenset({'BAS316,115'})",0.0021938571998404467,0.009373753490227364,0.0021273766786331604,0.9696969696969696,103.44809800128947,0.0021068120020490957,32.69066613482241,0.9925107435538678
"frozenset({'PDZ15B,115', 'BAS316,115', 'BAV99,215'})","frozenset({'PDZ12B,115'})",0.0026592208482914504,0.003523467623986172,0.0021273766786331604,0.8,227.0490566037736,0.0021180070000691763,4.98238266188007,0.9982502333022264
