antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'BAT54C,215', 'BAT54A,215'})","frozenset({'BAV99,215'})",0.0034569871027788856,0.015955325089748704,0.002526259805876878,0.7307692307692308,45.80096153846154,0.0024711024528209723,3.6550230782380773,0.9815596362487271
"frozenset({'BAT54C,215', 'BAV99,215'})","frozenset({'BAT54A,215'})",0.004121792314851749,0.007046935247972344,0.002526259805876878,0.6129032258064516,86.97443700547778,0.0024972138023285277,2.565128750609405,0.9925936336167521
"frozenset({'BAT54A,215', 'BAV99,215'})","frozenset({'BAT54C,215'})",0.0038558702300226034,0.009307272969020078,0.002526259805876878,0.6551724137931034,70.39359605911329,0.0024903721691129396,2.8730089083898416,0.9896099699328408
"frozenset({'PMBT3906,215'})","frozenset({'PMBT3904,215'})",0.005916766387448477,0.01103576652040952,0.00392235075122989,0.6629213483146068,60.07025856233925,0.0038570546988222014,2.933927225989452,0.9892057259639525
"frozenset({'PMBT4401,215'})","frozenset({'BAS316,115'})",0.0049195585693391835,0.009373753490227364,0.0029251429331205955,0.5945945945945945,63.431857389304184,0.0028790282038108745,2.443544741390772,0.9891009912054808
"frozenset({'BAS321,115'})","frozenset({'BAS316,115'})",0.00498603909054647,0.009373753490227364,0.0028586624119133095,0.5733333333333334,61.16368794326241,0.0028119245105858895,2.3217802652572797,0.9885795261202553
"frozenset({'BAS321,115'})","frozenset({'BAV99,215'})",0.00498603909054647,0.015955325089748704,0.002526259805876878,0.5066666666666667,31.755333333333336,0.0024467059312770142,1.994685151845104,0.9733624500216266
"frozenset({'BAS516,115'})","frozenset({'BAS316,115'})",0.004786597526924611,0.009373753490227364,0.0026592208482914504,0.5555555555555556,59.26713947990544,0.002614352463017127,2.2289090546469885,0.9878557114228456
"frozenset({'BAS32L,115'})","frozenset({'BAV99,215'})",0.004188272836059034,0.015955325089748704,0.0026592208482914504,0.6349206349206349,39.79365079365079,0.0025923955936275646,2.695426718232427,0.9789705587822951
frozenset({'SR2351C'}),frozenset({'SR2319A'}),0.0026592208482914504,0.0026592208482914504,0.0026592208482914504,1.0,376.05,0.0026521493927714624,inf,0.9999999999999999
